id,userId,learningMaterialId,completed,completedAt
1,7290,3243,False,
2,105,3949,True,2024-03-23 22:21:09
3,3614,2041,True,2024-05-23 08:19:11
4,6666,1988,False,
5,9634,4360,False,
6,4057,2251,True,2024-04-03 21:40:32
7,1016,1460,True,2024-01-18 02:12:53
8,8788,2656,False,
9,5091,2183,False,
10,2545,4875,True,2024-05-19 12:56:49
11,4643,4090,True,2024-10-07 13:09:44
12,6115,2602,False,
13,5214,2762,False,
14,477,1428,False,
15,9209,3788,False,
16,3705,2175,False,
17,9069,1343,True,2024-02-21 17:31:31
18,2799,1894,False,
19,1231,116,True,2024-03-22 16:05:28
20,4924,4041,True,2024-06-09 16:13:46
21,1523,3056,False,
22,2700,371,False,
23,9335,3442,True,2024-09-01 19:08:24
24,1748,1726,False,
25,6128,4756,True,2024-10-03 13:20:39
26,1983,3377,True,2024-01-28 19:23:26
27,8963,1581,False,
28,7214,2102,False,
29,8160,4323,False,
30,5809,4905,True,2024-09-11 13:58:31
31,7880,328,True,2024-07-04 15:53:16
32,6861,3326,True,2024-04-06 11:43:43
33,8977,4150,True,2024-04-23 17:27:39
34,2343,3436,False,
35,689,3729,False,
36,6436,4910,True,2024-04-20 17:15:37
37,1330,1763,False,
38,7876,4460,False,
39,8411,523,False,
40,6771,3716,False,
41,8235,3920,True,2024-10-14 03:55:54
42,9061,3398,True,2024-01-24 21:37:27
43,661,3550,True,2024-06-30 12:35:11
44,5992,2184,True,2024-05-10 05:26:51
45,6633,4643,True,2024-01-18 17:50:59
46,6396,2522,True,2024-07-19 22:15:19
47,7589,883,True,2024-09-23 16:19:03
48,4406,839,False,
49,8834,3883,True,2024-01-25 12:30:24
50,825,4702,False,
51,3239,3186,False,
52,4578,2089,True,2024-01-05 09:44:36
53,4555,493,False,
54,3896,2495,False,
55,6354,3028,True,2024-09-30 14:37:39
56,6887,4627,True,2024-04-28 08:35:36
57,8089,3946,False,
58,51,4634,True,2024-03-25 03:14:32
59,97,2277,False,
60,4229,1375,False,
61,5064,4797,True,2024-02-07 15:04:37
62,501,528,True,2024-08-01 03:16:16
63,7592,1152,False,
64,9185,3717,False,
65,3837,3148,True,2024-10-07 04:08:50
66,6921,2976,False,
67,8417,2447,True,2024-02-28 21:39:46
68,1907,73,True,2024-01-18 21:01:06
69,9043,3460,True,2024-10-07 03:43:52
70,3074,1054,False,
71,3954,1840,False,
72,7992,1479,True,2024-02-26 20:23:55
73,9627,4694,False,
74,7902,4944,False,
75,3137,4474,True,2024-09-28 13:57:58
76,1192,3503,True,2024-10-11 17:42:28
77,614,3940,True,2024-05-15 07:07:31
78,5682,4919,True,2024-08-17 09:43:11
79,8917,690,True,2024-05-06 15:27:21
80,2124,1099,True,2024-07-06 05:11:16
81,7948,1904,True,2024-06-08 19:29:37
82,6747,2106,False,
83,8151,3743,True,2024-03-15 23:56:42
84,9777,921,True,2024-09-25 07:44:52
85,5906,852,False,
86,2110,1094,True,2024-01-03 16:24:59
87,5961,3685,True,2024-06-24 16:02:46
88,443,1704,True,2024-04-29 09:44:46
89,3715,1420,True,2024-04-06 02:46:36
90,9390,3163,False,
91,7005,2555,True,2024-03-25 09:53:57
92,117,2851,False,
93,8665,4170,False,
94,8066,1665,True,2024-09-20 08:43:08
95,4542,2333,False,
96,1480,4022,False,
97,5671,4727,True,2024-08-15 05:31:48
98,2259,4591,True,2024-01-26 09:41:43
99,4541,4129,False,
100,9181,4320,False,
101,3685,4630,True,2024-01-23 23:23:34
102,7456,649,True,2024-07-04 23:24:31
103,6142,2784,True,2024-10-02 06:03:34
104,9592,1495,True,2024-04-22 21:42:47
105,9686,2492,True,2024-05-29 20:31:26
106,8489,2571,True,2024-09-14 15:39:52
107,9987,565,True,2024-03-26 03:49:42
108,1899,4625,True,2024-06-26 20:12:05
109,7867,4055,True,2024-07-08 04:26:32
110,4968,3807,True,2024-10-09 12:12:51
111,9220,3112,False,
112,5239,4563,True,2024-07-20 16:03:35
113,9906,3984,True,2024-05-18 04:02:56
114,3301,1414,True,2024-10-01 06:49:48
115,6342,1295,True,2024-09-10 16:37:44
116,2949,909,False,
117,6093,4075,True,2024-08-02 18:37:55
118,5909,3827,True,2024-07-18 11:30:52
119,5336,2899,False,
120,1556,4773,True,2024-04-10 12:30:20
121,6098,4062,False,
122,5811,3779,True,2024-08-29 00:35:15
123,2371,538,False,
124,8359,4375,True,2024-08-15 21:43:08
125,8222,2844,True,2024-01-17 02:23:36
126,7512,641,False,
127,2772,1312,True,2024-07-23 09:59:40
128,5421,452,True,2024-08-06 21:11:46
129,1511,166,True,2024-09-13 18:21:19
130,143,3879,True,2024-10-07 21:53:20
131,6857,4125,True,2024-07-10 03:02:32
132,3456,1801,True,2024-01-16 03:31:19
133,530,449,False,
134,3954,2070,False,
135,1286,544,True,2024-09-07 10:58:43
136,6218,2399,True,2024-01-15 23:25:43
137,6639,4036,True,2024-01-03 08:30:14
138,6832,1011,True,2024-05-28 20:30:31
139,4618,1970,True,2024-04-04 23:46:38
140,8753,3975,False,
141,9895,1678,True,2024-06-14 08:37:34
142,4350,371,False,
143,9583,3975,True,2024-07-30 11:20:24
144,881,2422,False,
145,3440,3816,True,2024-09-15 16:17:40
146,9851,3645,False,
147,2157,3957,False,
148,108,1615,True,2024-08-23 13:28:56
149,5381,4371,True,2024-05-09 09:11:02
150,1531,1036,True,2024-03-03 21:42:43
151,9649,3695,True,2024-08-11 04:13:07
152,7893,138,True,2024-02-25 23:29:23
153,155,3976,True,2024-08-08 12:58:31
154,3237,2412,False,
155,5056,3993,True,2024-04-30 15:42:27
156,7518,3133,True,2024-06-13 21:03:01
157,7608,213,True,2024-07-20 21:09:36
158,1814,957,False,
159,397,821,False,
160,782,3186,True,2024-01-28 00:48:10
161,8994,4,False,
162,3795,4471,False,
163,1174,1597,False,
164,2466,4692,True,2024-01-03 02:09:53
165,136,2748,True,2024-06-20 06:32:05
166,6887,456,True,2024-05-21 04:34:32
167,8903,4122,False,
168,7259,3043,False,
169,5723,4588,False,
170,2453,1227,False,
171,514,3180,True,2024-08-13 13:36:42
172,6298,1984,False,
173,9107,2919,False,
174,6749,597,False,
175,7554,4870,True,2024-09-18 20:16:55
176,5960,4335,True,2024-07-14 21:20:03
177,4582,1580,True,2024-05-13 20:03:20
178,4149,951,False,
179,8637,2587,True,2024-06-02 18:38:19
180,7700,2402,True,2024-07-10 06:36:40
181,2578,2749,False,
182,651,2527,False,
183,981,1236,False,
184,6352,2079,True,2024-01-30 05:24:43
185,7019,4674,False,
186,3099,4886,False,
187,2155,2460,False,
188,5633,173,False,
189,4713,1474,False,
190,2798,3895,False,
191,4909,122,False,
192,5471,3015,False,
193,8964,3044,False,
194,1368,1184,True,2024-01-01 06:14:54
195,7454,1758,False,
196,2278,1514,True,2024-09-25 22:27:35
197,695,3541,False,
198,5016,2837,False,
199,9400,1651,True,2024-10-06 07:37:55
200,6045,453,True,2024-03-17 14:01:44
201,3811,4988,False,
202,2599,3264,False,
203,8730,1590,False,
204,9582,42,False,
205,1478,971,True,2024-06-24 20:36:07
206,1431,2874,False,
207,9169,855,False,
208,8281,3017,False,
209,6433,4371,True,2024-07-01 14:30:15
210,216,808,True,2024-03-01 01:06:39
211,2466,2333,False,
212,7016,1882,False,
213,1963,3191,False,
214,4259,3881,False,
215,2122,1270,False,
216,7513,3382,True,2024-04-12 03:38:38
217,7315,687,True,2024-06-28 23:03:53
218,5058,1283,True,2024-07-03 21:16:55
219,7152,1916,True,2024-02-12 11:08:24
220,1394,4270,True,2024-03-23 21:32:41
221,1871,3483,False,
222,3642,2690,False,
223,7325,3430,False,
224,7905,2678,False,
225,9404,1856,False,
226,8003,798,False,
227,6992,4316,True,2024-03-02 08:42:54
228,2796,425,False,
229,3423,714,True,2024-02-17 08:49:26
230,9962,4880,True,2024-03-16 13:20:00
231,5784,4714,True,2024-09-29 08:55:07
232,2531,257,False,
233,8427,526,True,2024-04-11 21:03:45
234,5560,4316,True,2024-06-09 02:51:48
235,2362,1722,False,
236,1740,3638,True,2024-06-26 02:33:25
237,7332,4835,False,
238,3838,2062,False,
239,9744,4106,True,2024-07-27 23:17:40
240,8177,701,True,2024-07-30 08:17:10
241,8795,2245,True,2024-06-28 23:52:09
242,9483,2185,False,
243,8552,81,True,2024-03-23 06:19:19
244,9673,2621,True,2024-03-20 16:24:08
245,9550,4555,True,2024-07-07 20:20:40
246,7311,2406,False,
247,4234,968,True,2024-03-21 10:14:06
248,9030,3262,True,2024-04-05 17:40:45
249,2393,4688,False,
250,9005,1797,False,
251,9387,2265,False,
252,7402,4519,False,
253,2985,1984,True,2024-05-14 08:47:43
254,7751,220,False,
255,1948,1083,False,
256,6941,36,False,
257,3497,1284,True,2024-08-23 07:06:31
258,7944,1910,False,
259,8473,2648,False,
260,6549,4041,True,2024-01-21 18:28:05
261,748,3829,False,
262,4633,802,True,2024-01-20 06:30:36
263,8535,652,False,
264,4050,3670,True,2024-08-05 23:06:13
265,5581,4016,False,
266,4705,4495,True,2024-08-10 12:44:54
267,819,2047,True,2024-06-04 16:20:42
268,1365,4764,True,2024-10-09 05:44:49
269,1484,3065,False,
270,967,3993,True,2024-04-28 14:41:41
271,4089,3231,False,
272,2132,1095,False,
273,7675,3066,False,
274,246,4678,False,
275,2215,3050,True,2024-09-10 07:17:05
276,2957,4550,False,
277,4607,1219,False,
278,5780,4926,False,
279,8777,3855,True,2024-04-22 04:44:32
280,6617,2469,True,2024-01-28 18:00:56
281,1345,4802,True,2024-03-21 00:05:25
282,2860,4483,True,2024-06-24 01:07:07
283,47,1243,False,
284,1416,2932,True,2024-03-30 09:15:28
285,2876,2527,False,
286,2595,4371,True,2024-09-12 02:52:11
287,6759,2926,True,2024-03-24 13:27:48
288,1376,4363,True,2024-04-17 13:33:27
289,2678,1469,False,
290,1125,1416,False,
291,2051,2114,True,2024-02-11 05:48:22
292,6688,4256,True,2024-01-13 01:25:35
293,7907,3739,True,2024-02-02 07:16:47
294,945,3076,True,2024-09-16 01:57:43
295,8520,2000,True,2024-04-18 05:04:11
296,6600,1169,True,2024-09-26 18:27:06
297,9864,1327,False,
298,8120,2503,True,2024-06-20 10:34:32
299,7638,3212,False,
300,1865,4851,True,2024-06-15 03:54:22
301,9085,1748,False,
302,802,1768,False,
303,1456,2724,True,2024-06-20 17:36:22
304,3613,3672,True,2024-04-16 18:54:57
305,6124,2611,True,2024-06-14 04:06:44
306,351,244,True,2024-08-17 23:19:57
307,8427,3296,False,
308,3795,4530,True,2024-07-25 22:50:37
309,2694,668,False,
310,1087,3025,False,
311,7484,2906,False,
312,2825,730,False,
313,851,433,True,2024-07-06 12:53:26
314,9272,4207,True,2024-02-08 19:11:41
315,9397,4850,False,
316,3750,2812,True,2024-09-19 02:11:31
317,7263,4110,True,2024-08-21 08:24:01
318,5323,1668,True,2024-08-25 15:43:47
319,1759,244,True,2024-05-28 18:09:33
320,791,4350,True,2024-01-03 04:47:07
321,9207,3883,False,
322,4184,2935,False,
323,2208,3882,True,2024-09-28 08:40:16
324,5566,2240,False,
325,5306,2662,False,
326,2628,4548,False,
327,6895,4379,True,2024-01-04 16:35:45
328,18,1676,False,
329,2964,3564,False,
330,2712,2231,False,
331,855,771,True,2024-01-04 01:33:53
332,1614,3756,True,2024-08-21 14:15:28
333,6805,3276,False,
334,8388,3889,True,2024-05-23 22:42:35
335,1120,930,True,2024-05-02 18:39:53
336,4753,589,False,
337,7917,4460,True,2024-06-24 22:01:56
338,850,1004,False,
339,3447,4347,True,2024-09-09 09:22:25
340,2744,2702,True,2024-07-24 08:30:56
341,414,3662,True,2024-01-26 01:42:10
342,9490,2415,False,
343,8398,1298,False,
344,5333,3017,True,2024-01-14 12:34:38
345,7168,744,True,2024-01-08 06:05:31
346,5448,285,False,
347,3605,3084,False,
348,7366,2734,True,2024-08-06 06:43:32
349,6050,1920,True,2024-09-09 04:18:18
350,3959,2369,True,2024-08-31 15:58:08
351,1827,31,False,
352,2843,384,True,2024-08-19 06:11:44
353,2484,1749,True,2024-01-21 21:29:54
354,7484,2067,True,2024-04-16 02:44:39
355,2363,797,False,
356,486,3049,True,2024-05-22 09:27:04
357,1566,2538,False,
358,9597,1669,True,2024-01-13 04:01:18
359,2630,4805,False,
360,7744,4620,True,2024-05-23 17:03:22
361,6396,1664,False,
362,2197,1922,False,
