userId,completion_rate
1,50.0
2,66.66666666666666
3,100.0
4,66.66666666666666
5,33.33333333333333
6,100.0
7,66.66666666666666
8,50.0
9,50.0
10,100.0
11,0.0
12,50.0
13,100.0
14,25.0
15,100.0
16,50.0
17,100.0
19,50.0
20,80.0
21,20.0
22,66.66666666666666
23,66.66666666666666
24,33.33333333333333
25,50.0
26,80.0
27,33.33333333333333
28,50.0
29,100.0
30,66.66666666666666
31,66.66666666666666
32,50.0
33,66.66666666666666
35,100.0
36,60.0
37,66.66666666666666
38,33.33333333333333
39,20.0
40,75.0
41,50.0
42,60.0
43,100.0
44,100.0
45,20.0
47,100.0
48,75.0
49,0.0
50,50.0
51,40.0
53,66.66666666666666
54,50.0
56,33.33333333333333
57,40.0
58,0.0
59,50.0
60,50.0
61,0.0
62,33.33333333333333
63,66.66666666666666
64,83.33333333333334
65,20.0
66,50.0
67,100.0
68,80.0
69,75.0
70,66.66666666666666
71,66.66666666666666
72,50.0
73,50.0
74,75.0
75,50.0
76,66.66666666666666
77,25.0
78,100.0
79,50.0
80,0.0
81,66.66666666666666
82,50.0
83,0.0
84,75.0
85,0.0
86,0.0
87,60.0
88,0.0
89,25.0
91,80.0
92,50.0
93,50.0
94,33.33333333333333
95,100.0
96,40.0
97,100.0
98,0.0
99,0.0
100,100.0
101,100.0
102,66.66666666666666
103,100.0
104,100.0
105,20.0
106,100.0
109,80.0
110,66.66666666666666
111,50.0
112,0.0
114,66.66666666666666
115,33.33333333333333
116,50.0
117,40.0
118,50.0
119,0.0
120,50.0
121,66.66666666666666
122,0.0
123,50.0
124,66.66666666666666
125,100.0
126,20.0
127,50.0
128,100.0
129,50.0
130,33.33333333333333
131,50.0
132,25.0
133,0.0
134,33.33333333333333
135,0.0
136,50.0
137,100.0
138,50.0
139,100.0
140,50.0
141,100.0
142,0.0
143,25.0
144,33.33333333333333
145,40.0
146,33.33333333333333
147,20.0
148,33.33333333333333
149,100.0
150,20.0
151,33.33333333333333
152,66.66666666666666
153,66.66666666666666
154,100.0
155,0.0
156,50.0
157,40.0
158,100.0
159,100.0
160,50.0
161,100.0
162,75.0
163,100.0
164,40.0
165,0.0
166,50.0
168,0.0
169,0.0
170,33.33333333333333
171,100.0
172,0.0
174,100.0
175,25.0
176,50.0
177,71.42857142857143
178,66.66666666666666
179,100.0
180,60.0
181,0.0
182,66.66666666666666
183,25.0
184,0.0
185,50.0
186,50.0
187,100.0
188,100.0
189,75.0
190,75.0
191,75.0
192,75.0
193,0.0
195,33.33333333333333
196,33.33333333333333
197,60.0
198,50.0
199,100.0
200,80.0
201,100.0
202,0.0
203,100.0
204,25.0
205,50.0
206,75.0
207,100.0
208,80.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,40.0
215,66.66666666666666
216,20.0
217,83.33333333333334
218,50.0
219,100.0
220,66.66666666666666
221,40.0
222,0.0
223,50.0
224,66.66666666666666
225,66.66666666666666
226,66.66666666666666
227,0.0
228,0.0
229,50.0
230,33.33333333333333
231,33.33333333333333
232,100.0
233,100.0
234,0.0
236,0.0
237,0.0
238,66.66666666666666
239,0.0
240,33.33333333333333
241,100.0
242,40.0
243,0.0
244,50.0
245,60.0
246,25.0
247,50.0
248,100.0
249,100.0
250,100.0
251,25.0
253,100.0
254,33.33333333333333
255,100.0
256,0.0
257,100.0
258,60.0
259,33.33333333333333
260,20.0
261,40.0
263,0.0
264,100.0
265,71.42857142857143
266,33.33333333333333
267,0.0
268,85.71428571428571
270,75.0
271,33.33333333333333
272,33.33333333333333
273,50.0
274,100.0
276,33.33333333333333
277,25.0
278,33.33333333333333
279,0.0
280,50.0
281,50.0
282,0.0
283,75.0
284,50.0
285,75.0
286,100.0
287,100.0
288,33.33333333333333
290,0.0
291,100.0
292,60.0
293,75.0
294,0.0
295,50.0
296,66.66666666666666
297,100.0
298,100.0
299,100.0
300,0.0
301,0.0
302,66.66666666666666
303,62.5
304,0.0
305,100.0
306,100.0
307,66.66666666666666
308,50.0
311,0.0
313,33.33333333333333
314,50.0
315,50.0
316,33.33333333333333
317,50.0
318,50.0
319,0.0
320,50.0
321,20.0
322,50.0
323,50.0
324,25.0
325,100.0
326,50.0
327,75.0
329,50.0
330,50.0
331,100.0
333,50.0
334,100.0
335,66.66666666666666
336,40.0
337,33.33333333333333
338,0.0
339,50.0
340,50.0
341,100.0
342,25.0
343,33.33333333333333
344,33.33333333333333
345,83.33333333333334
346,0.0
348,60.0
349,0.0
350,100.0
351,75.0
352,25.0
353,16.666666666666664
354,75.0
355,50.0
